tm,Tsp1,T1,Q1,P,ierr,D,iae
1348.4,67,43.75,100,139.5,16.6,0,5972.05
1349.4,67,44.04,100,137.76,16.6,0,5995.01
1350.4,67,44.1,100,137.4,16.6,0,6017.91
1351.4,67,44.42,100,135.48,16.6,0,6040.49
1352.4,67,44.75,100,133.5,16.6,0,6062.74
1353.4,67,45.07,100,131.58,16.6,0,6084.67
1354.4,67,45.39,100,129.66,16.6,0,6106.28
1355.4,67,45.71,100,127.74,16.6,0,6127.57
1356.4,67,45.81,100,127.14,16.6,0,6148.76
1357.4,67,46.04,100,125.76,16.6,0,6169.72
1358.4,67,46.36,100,123.84,16.6,0,6190.36
1359.4,67,46.68,100,121.92,16.6,0,6210.68
1360.5,67,47,100,120,16.6,0,6230.68
1361.5,67,47.32,100,118.08,16.6,0,6250.36
1362.5,67,47.52,100,116.88,16.6,0,6269.84
1363.5,67,47.68,100,115.92,16.6,0,6289.16
1364.5,67,47.97,100,114.18,16.6,0,6308.19
1365.5,67,48.29,100,112.26,16.6,0,6326.9
1366.5,67,48.61,100,110.34,16.6,0,6345.29
1367.5,67,48.9,100,108.6,16.6,0,6363.39
1368.5,67,49.16,100,107.04,16.6,0,6381.23
1369.5,67,49.26,100,106.44,16.6,0,6398.97
1370.5,67,49.58,100,104.52,16.6,0,6416.39
1371.5,67,49.9,100,102.6,16.6,0,6433.49
1372.5,67,50.19,100,100.86,16.6,0,6450.3
1373.5,67,50.51,100,98.94,16.6,0,6466.79
1374.5,67,50.55,100,98.7,16.6,0,6483.24
1375.5,67,50.87,100,96.78,16.6,0,6499.37
1376.5,67,51.19,100,94.86,16.6,0,6515.18
1377.5,67,51.51,100,92.94,16.6,0,6530.67
1378.5,67,51.61,100,92.34,16.6,0,6546.06
1379.5,67,51.84,100,90.96,16.6,0,6561.22
1380.5,67,52.16,100,89.04,16.6,0,6576.06
1381.5,67,52.48,100,87.12,16.6,0,6590.58
1382.5,67,52.61,100,86.34,16.6,0,6604.97
1383.5,67,52.8,100,85.2,16.6,0,6619.17
1384.5,67,53.13,100,83.22,16.6,0,6633.04
1385.5,67,53.45,98.99,81.3,17.69,0,6646.59
1386.5,67,53.74,98.31,79.56,18.75,0,6659.85
1387.5,67,53.93,98.22,78.42,19.8,0,6672.92
1388.5,67,54.09,98.29,77.46,20.83,0,6685.83
1389.5,67,54.38,97.56,75.72,21.84,0,6698.45
1390.5,67,54.58,97.35,74.52,22.83,0,6710.87
1391.5,67,54.67,97.81,73.98,23.83,0,6723.2
1392.5,67,55.06,96.42,71.64,24.78,0,6735.14
1393.5,67,55.38,95.43,69.72,25.71,0,6746.76
1394.5,67,55.67,94.6,67.98,26.62,0,6758.09
1395.5,67,55.7,95.33,67.8,27.53,0,6769.39
1396.5,67,56.03,94.22,65.82,28.4,0,6780.36
1397.5,67,56.35,93.16,63.9,29.26,0,6791.01
1398.5,67,56.44,93.47,63.36,30.11,0,6801.57
1399.5,67,56.67,92.91,61.98,30.93,0,6811.9
1400.5,67,56.99,91.79,60.06,31.73,0,6821.91
1401.5,67,57.06,92.17,59.64,32.53,0,6831.85
1402.5,67,57.31,91.45,58.14,33.31,0,6841.54
1403.5,67,57.64,90.22,56.16,34.06,0,6850.9
1404.5,67,57.83,89.81,55.02,34.79,0,6860.07
1405.5,67,57.96,89.76,54.24,35.52,0,6869.11
1406.5,67,58.28,88.54,52.32,36.22,0,6877.83
1407.5,67,58.31,89.05,52.14,36.91,0,6886.52
1408.5,67,58.6,87.99,50.4,37.59,0,6894.92
1409.5,67,58.89,86.9,48.66,38.24,0,6903.03
1410.5,67,58.96,87.12,48.24,38.88,0,6911.07
1411.5,67,59.25,86,46.5,39.5,0,6918.82
1412.6,67,59.34,86.08,45.96,40.12,0,6926.48
1413.6,67,59.57,85.29,44.58,40.71,0,6933.91
1414.6,67,59.83,84.31,43.02,41.29,0,6941.08
1415.6,67,59.89,84.52,42.66,41.86,0,6948.19
1416.6,67,60.09,83.88,41.46,42.42,0,6955.1
1417.6,67,60.21,83.7,40.74,42.96,0,6961.89
1418.6,67,60.54,82.24,38.76,43.48,0,6968.35
1419.6,67,60.57,82.58,38.58,44,0,6974.78
1420.6,67,60.86,81.33,36.84,44.49,0,6980.92
1421.6,67,60.99,81.03,36.06,44.97,0,6986.93
1422.6,67,61.18,80.36,34.92,45.44,0,6992.75
1423.6,67,61.41,79.43,33.54,45.89,0,6998.34
1424.6,67,61.5,79.33,33,46.33,0,7003.84
1425.6,67,61.7,78.55,31.8,46.75,0,7009.14
1426.6,67,61.83,78.19,31.02,47.17,0,7014.31
1427.6,67,61.96,77.81,30.24,47.57,0,7019.35
1428.6,67,62.15,77.06,29.1,47.96,0,7024.2
1429.6,67,62.37,76.11,27.78,48.33,0,7028.83
1430.6,67,62.47,75.87,27.18,48.69,0,7033.36
1431.6,67,62.63,75.27,26.22,49.05,0,7037.73
1432.6,67,62.79,74.64,25.26,49.38,0,7041.94
1433.6,67,62.89,74.37,24.66,49.71,0,7046.05
1434.6,67,63.12,73.3,23.28,50.02,0,7049.93
1435.6,67,63.12,73.61,23.28,50.33,0,7053.81
1436.6,67,63.34,72.59,21.96,50.63,0,7057.47
1437.6,67,63.44,72.27,21.36,50.91,0,7061.03
1438.6,67,63.44,72.56,21.36,51.2,0,7064.59
1439.6,67,63.73,71.08,19.62,51.46,0,7067.86
1440.6,67,63.76,71.16,19.44,51.72,0,7071.1
1441.6,67,63.89,70.63,18.66,51.97,0,7074.21
1442.6,67,64.08,69.72,17.52,52.2,0,7077.13
1443.6,67,64.08,69.96,17.52,52.44,0,7080.05
1444.6,67,64.08,70.19,17.52,52.67,0,7082.97
1445.6,67,64.37,68.66,15.78,52.88,0,7085.6
1446.6,67,64.4,68.69,15.6,53.09,0,7088.2
1447.6,67,64.4,68.9,15.6,53.3,0,7090.8
1448.6,67,64.53,68.32,14.82,53.5,0,7093.27
1449.6,67,64.73,67.3,13.62,53.68,0,7095.54
1450.6,67,64.73,67.48,13.62,53.86,0,7097.81
1451.6,67,64.73,67.66,13.62,54.04,0,7100.08
1452.7,67,65.05,65.9,11.7,54.2,0,7102.03
1453.7,67,65.05,66.06,11.7,54.36,0,7103.98
1454.7,67,65.05,66.21,11.7,54.51,0,7105.93
1455.7,67,65.15,65.76,11.1,54.66,0,7107.78
1456.7,67,65.34,64.75,9.96,54.79,0,7109.44
1457.7,67,65.37,64.7,9.78,54.92,0,7111.07
1458.7,67,65.37,64.84,9.78,55.06,0,7112.7
1459.7,67,65.4,64.78,9.6,55.18,0,7114.3
1460.7,67,65.44,64.67,9.36,55.31,0,7115.86
1461.7,67,65.66,63.46,8.04,55.42,0,7117.2
1462.7,67,65.69,63.38,7.86,55.52,0,7118.51
1463.7,67,65.69,63.49,7.86,55.63,0,7119.82
1464.7,67,65.69,63.59,7.86,55.73,0,7121.13
1465.7,67,65.73,63.45,7.62,55.83,0,7122.4
1466.7,67,65.73,63.56,7.62,55.94,0,7123.67
1467.7,67,65.95,62.32,6.3,56.02,0,7124.72
1468.7,67,66.02,61.98,5.88,56.1,0,7125.7
1469.7,67,66.02,62.06,5.88,56.18,0,7126.68
1470.7,67,66.02,62.14,5.88,56.26,0,7127.66
1471.7,67,66.02,62.21,5.88,56.33,0,7128.64
1472.7,67,66.02,62.29,5.88,56.41,0,7129.62
1473.7,67,66.02,62.37,5.88,56.49,0,7130.6
1474.7,67,66.14,61.72,5.16,56.56,0,7131.46
1475.7,67,66.18,61.55,4.92,56.63,0,7132.28
1476.7,67,66.18,61.61,4.92,56.69,0,7133.1
1477.7,67,66.31,60.89,4.14,56.75,0,7133.79
1478.7,67,66.34,60.76,3.96,56.8,0,7134.45
1479.7,67,66.34,60.81,3.96,56.85,0,7135.11
1480.7,67,66.34,60.87,3.96,56.91,0,7135.77
1481.7,67,66.34,60.92,3.96,56.96,0,7136.43
1482.7,67,66.34,60.97,3.96,57.01,0,7137.09
1483.7,67,66.34,61.02,3.96,57.06,0,7137.75
1484.7,67,66.34,61.08,3.96,57.12,0,7138.41
1485.7,67,66.34,61.13,3.96,57.17,0,7139.07
1486.7,67,66.34,61.18,3.96,57.22,0,7139.73
1487.7,67,66.34,61.24,3.96,57.28,0,7140.39
1488.7,67,66.34,61.29,3.96,57.33,0,7141.05
1489.7,67,66.34,61.34,3.96,57.38,0,7141.71
1490.7,67,66.37,61.21,3.78,57.43,0,7142.34
1491.8,67,66.34,61.45,3.96,57.49,0,7143
1492.8,67,66.34,61.5,3.96,57.54,0,7143.66
1493.8,67,66.34,61.55,3.96,57.59,0,7144.32
1494.8,67,66.34,61.6,3.96,57.64,0,7144.98
1495.8,67,66.34,61.66,3.96,57.7,0,7145.64
1496.8,67,66.4,61.35,3.6,57.75,0,7146.24
1497.8,67,66.4,61.39,3.6,57.79,0,7146.84
1498.8,67,66.37,61.62,3.78,57.84,0,7147.47
1499.8,67,66.43,61.31,3.42,57.89,0,7148.04
1500.8,67,66.47,61.11,3.18,57.93,0,7148.57
1501.8,67,66.56,60.61,2.64,57.97,0,7149.01
1502.8,67,66.5,61.01,3,58.01,0,7149.51
1503.8,67,66.37,61.84,3.78,58.06,0,7150.14
1504.8,67,66.34,62.07,3.96,58.11,0,7150.8
1505.8,67,66.43,61.58,3.42,58.16,0,7151.37
1506.8,67,66.5,61.2,3,58.2,0,7151.87
1507.8,67,66.37,62.03,3.78,58.25,0,7152.5
1508.8,67,66.43,61.71,3.42,58.29,0,7153.07
1509.8,67,66.37,62.12,3.78,58.34,0,7153.7
1510.8,67,66.37,62.17,3.78,58.39,0,7154.33
1511.8,67,66.34,62.41,3.96,58.45,0,7154.99
1512.8,67,66.34,62.46,3.96,58.5,0,7155.65
1513.8,67,66.4,62.15,3.6,58.55,0,7156.25
1514.8,67,66.37,62.38,3.78,58.6,0,7156.88
1515.8,67,66.34,62.61,3.96,58.65,0,7157.54
1516.8,67,66.4,62.3,3.6,58.7,0,7158.14
1517.8,67,66.34,62.71,3.96,58.75,0,7158.8
1518.8,67,66.34,62.77,3.96,58.81,0,7159.46
1519.8,67,66.37,62.64,3.78,58.86,0,7160.09
1520.8,67,66.34,62.87,3.96,58.91,0,7160.75
1521.8,67,66.34,62.92,3.96,58.96,0,7161.41
1522.8,67,66.34,62.97,3.96,59.01,0,7162.07
1523.8,67,66.37,62.85,3.78,59.07,0,7162.7
1524.8,67,66.34,63.08,3.96,59.12,0,7163.36
1525.8,67,66.34,63.13,3.96,59.17,0,7164.02
1526.8,67,66.34,63.18,3.96,59.22,0,7164.68
1527.8,67,66.34,63.24,3.96,59.28,0,7165.34
1528.8,67,66.34,63.29,3.96,59.33,0,7166
1529.8,67,66.34,63.34,3.96,59.38,0,7166.66
1530.8,67,66.31,63.58,4.14,59.44,0,7167.35
1531.8,67,66.34,63.45,3.96,59.49,0,7168.01
1532.8,67,66.34,63.5,3.96,59.54,0,7168.67
1533.8,67,66.18,64.53,4.92,59.61,0,7169.49
1534.8,67,66.34,63.62,3.96,59.66,0,7170.15
1535.8,67,66.34,63.68,3.96,59.72,0,7170.81
1536.8,67,66.34,63.73,3.96,59.77,0,7171.47
1537.8,67,66.34,63.78,3.96,59.82,0,7172.13
1538.9,67,66.34,63.83,3.96,59.87,0,7172.79
1539.9,67,66.34,63.89,3.96,59.93,0,7173.45
1540.9,67,66.34,63.94,3.96,59.98,0,7174.11
1541.9,67,66.31,64.18,4.14,60.04,0,7174.8
1542.9,67,66.31,64.23,4.14,60.09,0,7175.49
1543.9,67,66.21,64.89,4.74,60.15,0,7176.28
1544.9,67,66.24,64.78,4.56,60.22,0,7177.04
1545.9,67,66.11,65.63,5.34,60.29,0,7177.93
1546.9,67,66.08,65.88,5.52,60.36,0,7178.85
1547.9,67,66.14,65.59,5.16,60.43,0,7179.71
1548.9,67,66.21,65.23,4.74,60.49,0,7180.5
1549.9,67,66.27,64.93,4.38,60.55,0,7181.23
1550.9,67,66.05,66.33,5.7,60.63,0,7182.18
1551.9,67,66.21,65.43,4.74,60.69,0,7182.97
1552.9,67,66.24,65.31,4.56,60.75,0,7183.73
1553.9,67,66.08,66.35,5.52,60.83,0,7184.65
1554.9,67,66.08,66.42,5.52,60.9,0,7185.57
1555.9,67,66.08,66.49,5.52,60.97,0,7186.49
1556.9,67,66.21,65.78,4.74,61.04,0,7187.28
1557.9,52,66.11,0,-84.66,61.04,0,7201.39
1558.9,52,66.18,0,-85.08,61.04,0,7215.57
1559.9,52,66.08,0,-84.48,61.04,0,7229.65
1560.9,52,66.14,0,-84.84,61.04,0,7243.79
1561.9,52,66.08,0,-84.48,61.04,0,7257.87
1562.9,52,66.02,0,-84.12,61.04,0,7271.89
1563.9,52,66.02,0,-84.12,61.04,0,7285.91
1564.9,52,66.02,0,-84.12,61.04,0,7299.93
1565.9,52,66.02,0,-84.12,61.04,0,7313.95
1566.9,52,66.02,0,-84.12,61.04,0,7327.97
1567.9,52,66.02,0,-84.12,61.04,0,7341.99
1568.9,52,66.02,0,-84.12,61.04,0,7356.01
1569.9,52,66.02,0,-84.12,61.04,0,7370.03
1570.9,52,65.82,0,-82.92,61.04,0,7383.85
1571.9,52,65.69,0,-82.14,61.04,0,7397.54
1572.9,52,65.69,0,-82.14,61.04,0,7411.23
1573.9,52,65.69,0,-82.14,61.04,0,7424.92
1574.9,52,65.37,0,-80.22,61.04,0,7438.29
1576,52,65.37,0,-80.22,61.04,0,7451.66
1577,52,65.15,0,-78.9,61.04,0,7464.81
1578,52,65.05,0,-78.3,61.04,0,7477.86
1579,52,64.95,0,-77.7,61.04,0,7490.81
1580,52,64.73,0,-76.38,61.04,0,7503.54
1581,52,64.73,0,-76.38,61.04,0,7516.27
1582,52,64.4,0,-74.4,61.04,0,7528.67
1583,52,64.4,0,-74.4,61.04,0,7541.07
1584,52,64.08,0,-72.48,61.04,0,7553.15
1585,52,64.05,0,-72.3,61.04,0,7565.2
1586,52,63.76,0,-70.56,61.04,0,7576.96
1587,52,63.76,0,-70.56,61.04,0,7588.72
1588,52,63.44,0,-68.64,61.04,0,7600.16
1589,52,63.44,0,-68.64,61.04,0,7611.6
1590,52,63.12,0,-66.72,61.04,0,7622.72
1591,52,63.08,0,-66.48,61.04,0,7633.8
1592,52,62.79,0,-64.74,61.04,0,7644.59
1593,52,62.76,0,-64.56,61.04,0,7655.35
1594,52,62.47,0,-62.82,61.04,0,7665.82
1595,52,62.41,0,-62.46,61.04,0,7676.23
1596,52,62.15,0,-60.9,61.04,0,7686.38
1597,52,61.96,0.47,-59.76,60.23,0,7696.34
1598,52,61.83,0.47,-58.98,59.45,0,7706.17
1599,52,61.57,1.26,-57.42,58.68,0,7715.74
1600,52,61.5,0.92,-57,57.92,0,7725.24
1601,52,61.18,2.1,-55.08,57.18,0,7734.42
1602,52,61.05,2.16,-54.3,56.46,0,7743.47
1603,52,60.86,2.58,-53.16,55.74,0,7752.33
1604,52,60.57,3.64,-51.42,55.06,0,7760.9
1605,52,60.54,3.13,-51.24,54.37,0,7769.44
1606,52,60.25,4.21,-49.5,53.71,0,7777.69
1607,52,60.18,3.98,-49.08,53.06,0,7785.87
1608,52,59.89,5.09,-47.34,52.43,0,7793.76
1609,52,59.6,6.22,-45.6,51.82,0,7801.36
1610,52,59.57,5.79,-45.42,51.21,0,7808.93
1611,52,59.25,7.13,-43.5,50.63,0,7816.18
1612,52,59.22,6.73,-43.32,50.05,0,7823.4
1613.1,52,58.93,7.91,-41.58,49.49,0,7830.33
1614.1,52,58.73,8.57,-40.38,48.95,0,7837.06
1615.1,52,58.6,8.83,-39.6,48.43,0,7843.66
1616.1,52,58.28,10.24,-37.68,47.92,0,7849.94
1617.1,52,58.28,9.73,-37.68,47.41,0,7856.22
1618.1,52,57.96,11.17,-35.76,46.93,0,7862.18
1619.1,52,57.96,10.69,-35.76,46.45,0,7868.14
1620.1,52,57.64,12.16,-33.84,46,0,7873.78
1621.1,52,57.54,12.32,-33.24,45.56,0,7879.32
1622.1,52,57.31,13.27,-31.86,45.13,0,7884.63
1623.1,52,56.99,14.79,-29.94,44.73,0,7889.62
1624.1,52,56.99,14.39,-29.94,44.33,0,7894.61
1625.1,52,56.67,15.93,-28.02,43.95,0,7899.28
1626.1,52,56.67,15.56,-28.02,43.58,0,7903.95
1627.1,52,56.35,17.13,-26.1,43.23,0,7908.3
1628.1,52,56.35,16.78,-26.1,42.88,0,7912.65
1629.1,52,56.03,18.38,-24.18,42.56,0,7916.68
1630.1,52,56.03,18.06,-24.18,42.24,0,7920.71
1631.1,52,55.7,19.74,-22.2,41.94,0,7924.41
1632.1,52,55.7,19.44,-22.2,41.64,0,7928.11
1633.1,52,55.41,20.91,-20.46,41.37,0,7931.52
1634.1,52,55.38,20.82,-20.28,41.1,0,7934.9
1635.1,52,55.22,21.52,-19.32,40.84,0,7938.12
1636.1,52,55.06,22.23,-18.36,40.59,0,7941.18
1637.1,52,55.03,22.17,-18.18,40.35,0,7944.21
1638.1,52,54.74,23.69,-16.44,40.13,0,7946.95
1639.1,52,54.67,23.9,-16.02,39.92,0,7949.62
1640.1,52,54.41,25.26,-14.46,39.72,0,7952.03
1641.1,52,54.41,25.07,-14.46,39.53,0,7954.44
1642.1,52,54.19,26.22,-13.14,39.36,0,7956.63
1643.1,52,54.09,26.65,-12.54,39.19,0,7958.72
1644.1,52,54.09,26.48,-12.54,39.02,0,7960.81
1645.1,52,53.8,28.08,-10.8,38.88,0,7962.61
1646.2,52,53.77,28.11,-10.62,38.73,0,7964.38
1647.2,52,53.64,28.76,-9.84,38.6,0,7966.02
1648.2,52,53.45,29.79,-8.7,38.49,0,7967.47
1649.2,52,53.45,29.67,-8.7,38.37,0,7968.92
1650.2,52,53.25,30.77,-7.5,38.27,0,7970.17
1651.2,52,53.16,31.22,-6.96,38.18,0,7971.33
1652.2,52,53.13,31.31,-6.78,38.09,0,7972.46
1653.2,52,52.83,33.04,-4.98,38.02,0,7973.29
1654.2,52,52.8,33.15,-4.8,37.95,0,7974.09
1655.2,52,52.8,33.09,-4.8,37.89,0,7974.89
1656.2,52,52.61,34.18,-3.66,37.84,0,7975.5
1657.2,52,52.48,34.92,-2.88,37.8,0,7975.98
1658.2,52,52.48,34.88,-2.88,37.76,0,7976.46
1659.2,52,52.16,36.79,-0.96,37.75,0,7976.62
1660.2,52,52.16,36.78,-0.96,37.74,0,7976.78
1661.2,52,52.16,36.77,-0.96,37.73,0,7976.94
1662.2,52,52,37.73,0,37.73,0,7976.94
1663.2,52,51.9,38.33,0.6,37.73,0,7977.04
1664.2,52,51.84,38.71,0.96,37.75,0,7977.2
1665.2,52,51.84,38.72,0.96,37.76,0,7977.36
1666.2,52,51.84,38.73,0.96,37.77,0,7977.52
1667.2,52,51.8,38.99,1.2,37.79,0,7977.72
1668.2,52,51.58,40.34,2.52,37.82,0,7978.14
1669.2,52,51.51,40.8,2.94,37.86,0,7978.63
1670.2,52,51.51,40.84,2.94,37.9,0,7979.12
1671.2,52,51.51,40.88,2.94,37.94,0,7979.61
1672.2,52,51.45,41.28,3.3,37.98,0,7980.16
1673.2,52,51.48,41.15,3.12,38.03,0,7980.68
1674.2,52,51.42,41.55,3.48,38.07,0,7981.26
1675.2,52,51.26,42.57,4.44,38.13,0,7982
1676.2,52,51.19,43.06,4.86,38.2,0,7982.81
1677.2,52,51.19,43.12,4.86,38.26,0,7983.62
1678.2,52,51.19,43.19,4.86,38.33,0,7984.43
1679.2,52,51.19,43.25,4.86,38.39,0,7985.24
1680.2,52,51.19,43.32,4.86,38.46,0,7986.05
1681.3,52,51.13,43.75,5.22,38.53,0,7986.92
1682.3,52,51.03,44.42,5.82,38.6,0,7987.89
1683.3,52,50.87,45.47,6.78,38.69,0,7989.02
1684.3,52,50.9,45.38,6.6,38.78,0,7990.12
1685.3,52,50.87,45.65,6.78,38.87,0,7991.25
1686.3,52,50.87,45.74,6.78,38.96,0,7992.38
1687.3,52,50.87,45.84,6.78,39.06,0,7993.51
1688.3,52,50.84,46.11,6.96,39.15,0,7994.67
1689.3,52,50.87,46.02,6.78,39.24,0,7995.8
1690.3,52,50.87,46.11,6.78,39.33,0,7996.93
1691.3,52,50.87,46.2,6.78,39.42,0,7998.06
1692.3,52,50.87,46.29,6.78,39.51,0,7999.19
1693.3,52,50.87,46.38,6.78,39.6,0,8000.32
1694.3,52,50.87,46.47,6.78,39.69,0,8001.45
1695.3,52,50.87,46.56,6.78,39.78,0,8002.58
1696.3,52,50.71,47.62,7.74,39.88,0,8003.87
1697.3,52,50.71,47.73,7.74,39.99,0,8005.16
1698.3,52,50.84,47.04,6.96,40.08,0,8006.32
1699.3,52,50.87,46.95,6.78,40.17,0,8007.45
1700.3,52,50.84,47.22,6.96,40.26,0,8008.61
1701.3,52,50.8,47.56,7.2,40.36,0,8009.81
1702.3,52,50.74,48.02,7.56,40.46,0,8011.07
1703.3,52,50.77,47.94,7.38,40.56,0,8012.3
1704.3,52,50.77,48.04,7.38,40.66,0,8013.53
1705.3,52,50.8,47.96,7.2,40.76,0,8014.73
1706.3,52,50.71,48.6,7.74,40.86,0,8016.02
1707.3,52,50.64,49.13,8.16,40.97,0,8017.38
1708.3,52,50.61,49.42,8.34,41.08,0,8018.77
1709.3,52,50.58,49.71,8.52,41.19,0,8020.19
1710.3,52,50.55,50.01,8.7,41.31,0,8021.64
1711.3,52,50.55,50.13,8.7,41.43,0,8023.09
1712.3,52,50.55,50.24,8.7,41.54,0,8024.54
1713.3,52,50.58,50.18,8.52,41.66,0,8025.96
1714.3,52,50.68,49.68,7.92,41.76,0,8027.28
1715.3,52,50.68,49.79,7.92,41.87,0,8028.6
1716.3,52,50.77,49.35,7.38,41.97,0,8029.83
1717.3,52,50.84,49.02,6.96,42.06,0,8030.99
1718.3,52,50.87,48.93,6.78,42.15,0,8032.12
1719.3,52,50.87,49.02,6.78,42.24,0,8033.25
1720.3,52,50.87,49.11,6.78,42.33,0,8034.38
1721.3,52,50.87,49.2,6.78,42.42,0,8035.51
1722.3,52,50.87,49.29,6.78,42.51,0,8036.64
1723.3,52,50.9,49.2,6.6,42.6,0,8037.74
1724.3,52,50.97,48.86,6.18,42.68,0,8038.77
1725.3,52,51.03,48.58,5.82,42.76,0,8039.74
1726.3,52,51.16,47.87,5.04,42.83,0,8040.58
1727.3,52,51.16,47.94,5.04,42.9,0,8041.42
1728.3,52,51.19,47.82,4.86,42.96,0,8042.23
1729.3,52,51.19,47.88,4.86,43.02,0,8043.04
1730.4,52,51.19,47.95,4.86,43.09,0,8043.85
1731.4,52,51.22,47.83,4.68,43.15,0,8044.63
1732.4,52,51.22,47.9,4.68,43.22,0,8045.41
1733.4,52,51.29,47.53,4.26,43.27,0,8046.12
1734.4,52,51.32,47.41,4.08,43.33,0,8046.8
1735.4,52,51.42,46.85,3.48,43.37,0,8047.38
1736.4,52,51.48,46.53,3.12,43.41,0,8047.9
1737.4,52,51.51,46.39,2.94,43.45,0,8048.39
1738.4,52,51.51,46.43,2.94,43.49,0,8048.88
1739.4,52,51.51,46.47,2.94,43.53,0,8049.37
1740.4,52,51.51,46.51,2.94,43.57,0,8049.86
1741.4,52,51.51,46.55,2.94,43.61,0,8050.35
1742.4,52,51.51,46.59,2.94,43.65,0,8050.84
1743.4,52,51.51,46.63,2.94,43.69,0,8051.33
1744.4,52,51.58,46.24,2.52,43.72,0,8051.75
1745.4,52,51.77,45.12,1.38,43.74,0,8051.98
1746.4,52,51.58,46.3,2.52,43.78,0,8052.4
1747.4,52,51.77,45.17,1.38,43.79,0,8052.63
1748.4,52,51.84,44.77,0.96,43.81,0,8052.79
1749.4,52,51.84,44.78,0.96,43.82,0,8052.95
1750.4,52,51.84,44.79,0.96,43.83,0,8053.11
1751.4,52,51.84,44.81,0.96,43.85,0,8053.27
1752.4,52,51.84,44.82,0.96,43.86,0,8053.43
1753.4,52,51.84,44.83,0.96,43.87,0,8053.59
1754.4,52,51.84,44.84,0.96,43.88,0,8053.75
1755.4,52,51.84,44.86,0.96,43.9,0,8053.91
1756.4,52,51.9,44.5,0.6,43.9,0,8054.01
1757.4,52,51.87,44.69,0.78,43.91,0,8054.14
1758.4,52,52.06,43.55,-0.36,43.91,0,8054.2
1759.4,52,51.96,44.15,0.24,43.91,0,8054.24
1760.4,52,52.13,43.12,-0.78,43.9,0,8054.37
1761.4,52,52.16,42.93,-0.96,43.89,0,8054.53
1762.4,52,52.16,42.92,-0.96,43.88,0,8054.69
1763.4,52,52.16,42.9,-0.96,43.86,0,8054.85
1764.4,52,52.16,42.89,-0.96,43.85,0,8055.01
1765.4,52,52.16,42.88,-0.96,43.84,0,8055.17
1766.4,52,52.16,42.87,-0.96,43.83,0,8055.33
1767.4,52,52.16,42.85,-0.96,43.81,0,8055.49
1768.4,52,52.16,42.84,-0.96,43.8,0,8055.65
1769.4,52,52.19,42.65,-1.14,43.79,0,8055.84
1770.4,52,52.19,42.63,-1.14,43.77,0,8056.03
1771.4,52,52.32,41.82,-1.92,43.74,0,8056.35
1772.4,52,52.35,41.62,-2.1,43.72,0,8056.7
1773.4,52,52.42,41.16,-2.52,43.68,0,8057.12
1774.4,52,52.42,41.13,-2.52,43.65,0,8057.54
1775.4,52,52.48,40.73,-2.88,43.61,0,8058.02
1776.4,52,52.45,40.87,-2.7,43.57,0,8058.47
1777.5,52,52.48,40.66,-2.88,43.54,0,8058.95
1778.5,52,52.48,40.62,-2.88,43.5,0,8059.43
1779.5,52,52.48,40.58,-2.88,43.46,0,8059.91
1780.5,52,52.48,40.54,-2.88,43.42,0,8060.39
1781.5,52,52.48,40.5,-2.88,43.38,0,8060.87
1782.5,52,52.48,40.46,-2.88,43.34,0,8061.35
1783.5,52,52.48,40.43,-2.88,43.31,0,8061.83
1784.5,52,52.48,40.39,-2.88,43.27,0,8062.31
1785.5,52,52.48,40.35,-2.88,43.23,0,8062.79
1786.5,52,52.48,40.31,-2.88,43.19,0,8063.27
1787.5,52,52.48,40.27,-2.88,43.15,0,8063.75
1788.5,52,52.48,40.23,-2.88,43.11,0,8064.23
1789.5,52,52.48,40.19,-2.88,43.07,0,8064.71
1790.5,52,52.48,40.16,-2.88,43.04,0,8065.19
1791.5,52,52.48,40.12,-2.88,43,0,8065.67
1792.5,52,52.48,40.08,-2.88,42.96,0,8066.15
1793.5,52,52.48,40.04,-2.88,42.92,0,8066.63
1794.5,52,52.48,40,-2.88,42.88,0,8067.11
1795.5,52,52.48,39.96,-2.88,42.84,0,8067.59
1796.5,52,52.48,39.92,-2.88,42.8,0,8068.07
1797.5,52,52.48,39.89,-2.88,42.77,0,8068.55
1798.5,52,52.51,39.67,-3.06,42.73,0,8069.06
1799.5,52,52.51,39.62,-3.06,42.68,0,8069.57
1800.5,52,52.48,39.77,-2.88,42.65,0,8070.05
1801.5,52,52.48,39.73,-2.88,42.61,0,8070.53
1802.5,52,52.54,39.32,-3.24,42.56,0,8071.07
1803.5,52,52.48,39.65,-2.88,42.53,0,8071.55
1804.5,52,52.51,39.42,-3.06,42.48,0,8072.06
1805.5,52,52.54,39.2,-3.24,42.44,0,8072.6
1806.5,52,52.58,38.92,-3.48,42.4,0,8073.18
1807.5,52,52.51,39.29,-3.06,42.35,0,8073.69
1808.5,52,52.48,39.44,-2.88,42.32,0,8074.17
1809.5,52,52.48,39.4,-2.88,42.28,0,8074.65
1810.5,52,52.48,39.36,-2.88,42.24,0,8075.13
1811.5,52,52.51,39.14,-3.06,42.2,0,8075.64
1812.5,52,52.48,39.28,-2.88,42.16,0,8076.12
1813.5,52,52.51,39.06,-3.06,42.12,0,8076.63
1814.5,52,52.51,39.02,-3.06,42.08,0,8077.14
1815.5,52,52.48,39.16,-2.88,42.04,0,8077.62
1816.5,52,52.48,39.12,-2.88,42,0,8078.1
1817.5,52,52.48,39.08,-2.88,41.96,0,8078.58
